human,RT,error,kaku,,,,
3,559.2,1,315,f,f,re_right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair315.png
3,652.1,1,45,f,f,re_left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair45.png
3,530.6,1,45,j,j,left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair45.png
3,524.3,1,90,j,j,right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair90.png
3,780.1,1,135,j,j,right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair135.png
3,829.1,1,135,f,f,re_left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair135.png
3,1009.8,1,225,f,f,re_right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair225.png
3,601.3,1,315,j,j,left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair315.png
3,683.9,1,270,j,j,right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair270.png
3,521.5,0,135,f,j,left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair135.png
3,592.3,1,315,f,f,re_left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair315.png
3,883.5,1,180,f,f,re_left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair180.png
3,733.8,1,270,f,f,re_right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair270.png
3,728.7,0,135,j,f,re_right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair135.png
3,492.2,1,315,j,j,right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair315.png
3,469.9,1,0,f,f,re_left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair0.png
3,532.8,1,0,j,j,left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair0.png
3,983.7,1,270,f,f,re_left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair270.png
3,651,1,90,f,f,re_right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair90.png
3,861.2,0,180,f,j,right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair180.png
3,580,1,0,f,f,re_right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair0.png
3,919.1,0,180,f,j,left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair180.png
3,447.5,1,0,j,j,right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair0.png
3,712,1,225,f,f,re_left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair225.png
3,995.2,1,180,f,f,re_right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair180.png
3,497.2,1,45,j,j,right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair45.png
3,793.4,1,45,f,f,re_right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair45.png
3,642.4,1,270,j,j,left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair270.png
3,592.4,1,225,j,j,right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair225.png
3,635.8,1,90,j,j,left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair90.png
3,672,1,90,f,f,re_left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair90.png
,,,,,,,
4,865.3,1,225,f,f,re_left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair225.png
4,822.4,1,270,j,j,right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair270.png
4,795,1,0,f,f,re_right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair0.png
4,1222.4,0,180,j,f,re_right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair180.png
4,738.1,1,90,f,f,re_left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair90.png
4,682.6,1,135,j,j,right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair135.png
4,1275,1,90,j,j,left_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair90.png
4,564.1,1,0,j,j,left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair0.png
4,1217.7,1,270,f,f,re_left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair270.png
4,676.8,1,0,f,f,re_left_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair0.png
4,833.9,0,180,j,f,re_left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair180.png
4,1059.3,1,45,f,f,re_right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair45.png
4,596.7,1,315,j,j,right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair315.png
4,1658.8,1,135,f,f,re_left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair135.png
4,738.4,1,90,j,j,right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair90.png
4,924.4,1,180,j,j,right_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair180.png
4,599.9,1,315,f,f,re_left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair315.png
4,1104.4,0,225,j,f,re_right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair225.png
4,710.5,1,270,j,j,left_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair270.png
4,590.4,1,0,j,j,right_chair0,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair0.png
4,645.2,1,45,j,j,left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair45.png
4,722.9,1,90,f,f,re_right_chair90,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair90.png
4,1000.3,0,270,j,f,re_right_chair270,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair270.png
4,1181.3,1,135,j,j,left_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair135.png
4,858.3,1,225,j,j,left_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair225.png
4,850.2,0,135,j,f,re_right_chair135,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair135.png
4,922.6,1,45,f,f,re_left_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/re_left_chair45.png
4,633.3,1,45,j,j,right_chair45,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair45.png
4,899.5,1,225,j,j,right_chair225,https://manayamashita.github.io/experiment-1/M1_1_image/right_chair225.png
4,684.9,1,315,f,f,re_right_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/re_right_chair315.png
4,570.5,1,315,j,j,left_chair315,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair315.png
4,1341.1,1,180,j,j,left_chair180,https://manayamashita.github.io/experiment-1/M1_1_image/left_chair180.png
